waveform	[0]	
t0	12/11/2024  11:44:49,063855	
delta t	2,000000E-5	

time[0]	Y[0]
12/11/2024  11:44:49,063855	6,181609E-2
12/11/2024  11:44:49,063875	-2,347119E-1
12/11/2024  11:44:49,063895	-2,657240E-1
12/11/2024  11:44:49,063915	2,785595E-1
12/11/2024  11:44:49,063935	1,422154E-1
12/11/2024  11:44:49,063955	-2,368294E-1
12/11/2024  11:44:49,063975	-1,114830E-1
12/11/2024  11:44:49,063995	9,644859E-2
12/11/2024  11:44:49,064015	7,841510E-2
12/11/2024  11:44:49,064035	-6,250570E-2
12/11/2024  11:44:49,064055	-3,511392E-2
12/11/2024  11:44:49,064075	-4,508699E-2
12/11/2024  11:44:49,064095	1,242892E-2
12/11/2024  11:44:49,064115	3,961577E-2
12/11/2024  11:44:49,064135	2,934013E-3
12/11/2024  11:44:49,064155	-7,036120E-2
12/11/2024  11:44:49,064175	-2,076910E-2
12/11/2024  11:44:49,064195	4,262135E-2
12/11/2024  11:44:49,064215	2,308507E-2
12/11/2024  11:44:49,064235	-6,885841E-2
12/11/2024  11:44:49,064255	-3,463576E-2
12/11/2024  11:44:49,064275	5,819573E-2
12/11/2024  11:44:49,064295	2,363154E-2
12/11/2024  11:44:49,064315	-4,583838E-2
12/11/2024  11:44:49,064335	-5,533329E-2
12/11/2024  11:44:49,064355	3,421939E-2
12/11/2024  11:44:49,064375	4,296290E-2
12/11/2024  11:44:49,064395	-4,173986E-2
12/11/2024  11:44:49,064415	-5,902196E-2
12/11/2024  11:44:49,064435	2,089919E-2
12/11/2024  11:44:49,064455	4,241643E-2
12/11/2024  11:44:49,064475	-1,721705E-2
12/11/2024  11:44:49,064495	-9,242490E-2
12/11/2024  11:44:49,064515	-1,398775E-4
12/11/2024  11:44:49,064535	3,018917E-2
12/11/2024  11:44:49,064555	-6,492584E-3
12/11/2024  11:44:49,064575	-6,981473E-2
12/11/2024  11:44:49,064595	-3,115202E-2
12/11/2024  11:44:49,064615	2,902793E-2
12/11/2024  11:44:49,064635	-1,018125E-2
12/11/2024  11:44:49,064655	-5,102984E-2
12/11/2024  11:44:49,064675	-3,668502E-2
12/11/2024  11:44:49,064695	-6,355967E-3
12/11/2024  11:44:49,064715	6,622681E-3
12/11/2024  11:44:49,064735	-5,280587E-2
12/11/2024  11:44:49,064755	-3,511392E-2
12/11/2024  11:44:49,064775	2,729087E-3
12/11/2024  11:44:49,064795	-4,443324E-3
12/11/2024  11:44:49,064815	1,051921E-1
12/11/2024  11:44:49,064835	-1,250081E-1
12/11/2024  11:44:49,064855	-5,704100E-2
12/11/2024  11:44:49,064875	5,136486E-2
12/11/2024  11:44:49,064895	-1,024956E-2
12/11/2024  11:44:49,064915	-4,375015E-3
12/11/2024  11:44:49,064935	-2,384299E-2
12/11/2024  11:44:49,064955	1,215568E-2
12/11/2024  11:44:49,064975	6,554373E-3
12/11/2024  11:44:49,064995	-6,120783E-2
12/11/2024  11:44:49,065015	-2,637041E-2
12/11/2024  11:44:49,065035	5,047685E-2
12/11/2024  11:44:49,065055	2,479279E-2
12/11/2024  11:44:49,065075	-2,056417E-2
12/11/2024  11:44:49,065095	-1,113757E-2
12/11/2024  11:44:49,065115	9,150102E-3
12/11/2024  11:44:49,065135	1,673237E-2
12/11/2024  11:44:49,065155	-1,168404E-2
12/11/2024  11:44:49,065175	-2,664364E-2
12/11/2024  11:44:49,065195	3,681512E-2
12/11/2024  11:44:49,065215	2,827653E-2
12/11/2024  11:44:49,065235	-2,739504E-2
12/11/2024  11:44:49,065255	-2,104233E-2
12/11/2024  11:44:49,065275	-6,715069E-2
