waveform	[0]	
t0	12/11/2024  11:47:44,697642	
delta t	2,000000E-5	

time[0]	Y[0]
12/11/2024  11:47:44,697642	2,182617E-3
12/11/2024  11:47:44,697662	8,847526E-4
12/11/2024  11:47:44,697682	6,964225E-3
12/11/2024  11:47:44,697702	2,016659E-4
12/11/2024  11:47:44,697722	-4,814209E-4
12/11/2024  11:47:44,697742	-1,164508E-3
12/11/2024  11:47:44,697762	2,387544E-3
12/11/2024  11:47:44,697782	1,294605E-3
12/11/2024  11:47:44,697802	-2,052520E-3
12/11/2024  11:47:44,697822	2,660778E-3
12/11/2024  11:47:44,697842	-9,595816E-4
12/11/2024  11:47:44,697862	1,841074E-3
12/11/2024  11:47:44,697882	1,294605E-3
12/11/2024  11:47:44,697902	4,778347E-3
12/11/2024  11:47:44,697922	2,592470E-3
12/11/2024  11:47:44,697942	3,548791E-3
12/11/2024  11:47:44,697962	2,934013E-3
12/11/2024  11:47:44,697982	-2,764949E-4
12/11/2024  11:47:44,698002	2,250926E-3
12/11/2024  11:47:44,698022	3,275556E-3
12/11/2024  11:47:44,698042	-3,282077E-3
12/11/2024  11:47:44,698062	2,046000E-3
12/11/2024  11:47:44,698082	-7,156884E-5
12/11/2024  11:47:44,698102	1,431222E-3
12/11/2024  11:47:44,698122	-2,081862E-4
12/11/2024  11:47:44,698142	3,070630E-3
12/11/2024  11:47:44,698162	-9,595816E-4
12/11/2024  11:47:44,698182	-4,131122E-4
12/11/2024  11:47:44,698202	-8,912730E-4
12/11/2024  11:47:44,698222	1,021370E-3
12/11/2024  11:47:44,698242	-6,355967E-3
12/11/2024  11:47:44,698262	2,524161E-3
12/11/2024  11:47:44,698282	2,016659E-4
12/11/2024  11:47:44,698302	-8,912730E-4
12/11/2024  11:47:44,698322	1,704457E-3
12/11/2024  11:47:44,698342	6,504851E-5
12/11/2024  11:47:44,698362	3,412174E-3
12/11/2024  11:47:44,698382	1,909383E-3
12/11/2024  11:47:44,698402	-5,497296E-4
12/11/2024  11:47:44,698422	7,510694E-3
12/11/2024  11:47:44,698442	2,524161E-3
12/11/2024  11:47:44,698462	9,530613E-4
12/11/2024  11:47:44,698482	1,772765E-3
12/11/2024  11:47:44,698502	2,016659E-4
12/11/2024  11:47:44,698522	2,114309E-3
12/11/2024  11:47:44,698542	6,798266E-4
12/11/2024  11:47:44,698562	-4,131122E-4
12/11/2024  11:47:44,698582	-5,467954E-3
12/11/2024  11:47:44,698602	5,051582E-3
12/11/2024  11:47:44,698622	1,294605E-3
12/11/2024  11:47:44,698642	-2,598990E-3
12/11/2024  11:47:44,698662	8,164439E-4
12/11/2024  11:47:44,698682	-1,915903E-3
12/11/2024  11:47:44,698702	-1,301125E-3
12/11/2024  11:47:44,698722	5,432092E-4
12/11/2024  11:47:44,698742	-8,912730E-4
12/11/2024  11:47:44,698762	9,530613E-4
12/11/2024  11:47:44,698782	1,704457E-3
12/11/2024  11:47:44,698802	1,772765E-3
12/11/2024  11:47:44,698822	2,016659E-4
12/11/2024  11:47:44,698842	5,432092E-4
12/11/2024  11:47:44,698862	1,065289E-2
12/11/2024  11:47:44,698882	-1,574360E-3
12/11/2024  11:47:44,698902	1,021370E-3
12/11/2024  11:47:44,698922	2,524161E-3
12/11/2024  11:47:44,698942	2,934013E-3
12/11/2024  11:47:44,698962	1,636148E-3
12/11/2024  11:47:44,698982	-1,164508E-3
12/11/2024  11:47:44,699002	-1,027890E-3
12/11/2024  11:47:44,699022	-2,598990E-3
12/11/2024  11:47:44,699042	-2,120829E-3
12/11/2024  11:47:44,699062	1,704457E-3
12/11/2024  11:47:44,699082	-5,263028E-3
12/11/2024  11:47:44,699102	-6,863469E-4
12/11/2024  11:47:44,699122	4,065919E-4
12/11/2024  11:47:44,699142	1,157987E-3
